date,open,high,low,close,volume
2025-02-06,2865.20,2871.70,2836.30,2856.00,3116
2025-02-07,2859.90,2889.50,2857.80,2867.30,1822
2025-02-10,2864.20,2916.10,2863.80,2914.30,2237
2025-02-11,2925.50,2945.40,2890.00,2912.50,2554
2025-02-12,2902.00,2912.30,2868.60,2909.00,2504
2025-02-13,2911.30,2937.70,2910.60,2925.90,4670
2025-02-14,2937.30,2944.40,2874.80,2883.60,1992
2025-02-18,2879.20,2936.40,2873.80,2931.60,4010
2025-02-19,2938.70,2946.00,2917.10,2919.40,2630
2025-02-20,2949.10,2955.80,2924.20,2940.00,656
2025-02-21,2938.80,2940.00,2917.30,2937.60,570
2025-02-24,2933.10,2957.90,2933.10,2947.90,415
2025-02-25,2938.70,2943.20,2890.00,2904.50,1854
2025-02-26,2913.50,2917.00,2913.00,2916.80,2050
2025-02-27,2918.50,2922.80,2870.40,2883.20,3215
2025-02-28,2877.10,2877.10,2834.10,2836.80,990
2025-03-03,2872.70,2891.80,2863.40,2890.20,423
2025-03-04,2886.10,2927.90,2886.10,2909.60,885
2025-03-05,2916.70,2922.00,2893.00,2915.30,551
2025-03-06,2904.00,2918.60,2903.80,2916.60,870
2025-03-07,2900.90,2927.30,2900.50,2904.70,531
2025-03-10,2910.10,2915.10,2880.20,2891.00,55
2025-03-11,2884.40,2916.70,2880.40,2912.90,197
2025-03-12,2912.00,2939.10,2910.00,2939.10,213
2025-03-13,2937.10,2988.00,2935.20,2984.30,2366
2025-03-14,2994.40,3004.80,2986.00,2994.50,1800
2025-03-17,2991.00,3001.50,2989.00,3000.00,214
2025-03-18,3006.40,3039.20,3004.40,3035.10,428
2025-03-19,3035.20,3050.90,3030.90,3035.90,175
2025-03-20,3047.30,3047.30,3034.40,3040.00,185
2025-03-21,3034.50,3037.50,3000.90,3018.20,151
2025-03-24,3024.30,3024.30,3006.00,3013.10,137
2025-03-25,3026.40,3028.80,3023.70,3023.70,74
2025-03-26,3033.20,3033.20,3019.50,3020.90,83
2025-03-27,3025.50,3065.00,3025.50,3060.20,124359
2025-03-28,3069.70,3094.90,3066.80,3086.50,31206
2025-03-31,3091.00,3132.50,3086.00,3122.80,3438
2025-04-01,3129.70,3149.50,3104.00,3118.90,1721
2025-04-02,3120.70,3168.60,3117.40,3139.90,5946
2025-04-03,3150.00,3166.90,3052.00,3097.00,5516
2025-04-04,3110.50,3127.70,3011.00,3012.00,3247
2025-04-07,3016.40,3050.80,2949.70,2951.30,4424
2025-04-08,2994.00,3014.50,2968.40,2968.40,3213
2025-04-09,2965.80,3090.40,2965.80,3056.50,2175
2025-04-10,3073.90,3167.00,3072.10,3155.20,3456
2025-04-11,3182.10,3235.00,3182.10,3222.20,862
2025-04-14,3215.50,3228.80,3194.50,3204.80,263
2025-04-15,3216.00,3218.70,3214.00,3218.70,390
2025-04-16,3238.30,3334.90,3238.30,3326.60,1874
2025-04-17,3345.00,3345.00,3287.80,3308.70,824
2025-04-21,3342.20,3418.50,3342.20,3406.20,78
2025-04-22,3422.20,3485.60,3361.70,3400.80,785
2025-04-23,3321.20,3370.30,3256.20,3276.30,331
2025-04-24,3305.40,3353.90,3304.90,3332.00,560
2025-04-25,3355.50,3355.50,3266.10,3282.40,162
2025-04-28,3284.50,3332.50,3284.50,3332.50,1300
2025-04-29,3340.00,3340.00,3299.90,3318.80,1278
2025-04-30,3318.70,3318.70,3268.00,3305.00,207
2025-05-01,3272.90,3275.00,3198.60,3210.00,2131
2025-05-02,3239.90,3257.00,3225.00,3231.90,1349
2025-05-05,3242.70,3315.70,3239.70,3311.30,244
2025-05-06,3365.50,3430.90,3356.80,3411.40,2357
2025-05-07,3418.70,3418.70,3364.70,3381.40,1080
2025-05-08,3390.00,3390.00,3288.70,3296.60,200
2025-05-09,3299.00,3335.50,3299.00,3335.40,216
2025-05-12,3300.70,3300.70,3205.00,3220.00,886
2025-05-13,3232.00,3251.40,3223.50,3240.30,2424
2025-05-14,3233.00,3233.00,3171.70,3181.40,3518
2025-05-15,3151.00,3228.10,3125.00,3220.70,652
2025-05-16,3227.70,3228.10,3173.90,3182.00,199
2025-05-19,3234.40,3241.00,3228.30,3228.90,266
2025-05-20,3219.00,3293.20,3207.50,3280.30,356
2025-05-21,3293.40,3317.50,3290.20,3309.30,979
2025-05-22,3327.30,3328.00,3282.70,3292.30,1210
2025-05-23,3328.00,3363.60,3323.50,3363.60,47
2025-05-27,3332.50,3341.00,3296.30,3299.10,189
2025-05-28,3293.60,3293.60,3293.60,3293.60,127758
2025-05-29,3283.70,3328.80,3242.40,3317.10,24370
2025-05-30,3315.10,3318.00,3270.90,3288.90,2213
2025-06-02,3296.90,3380.80,3296.90,3370.60,976
2025-06-03,3385.10,3390.00,3331.30,3350.20,6410
2025-06-04,3355.00,3380.00,3344.00,3373.50,207
2025-06-05,3371.50,3400.00,3343.70,3350.70,731
2025-06-06,3364.30,3364.30,3306.00,3322.70,81
2025-06-09,3315.60,3334.60,3290.00,3332.10,1887
2025-06-10,3302.00,3344.30,3302.00,3320.90,65
2025-06-11,3328.00,3356.00,3321.30,3321.30,2106
2025-06-12,3363.00,3395.90,3353.40,3380.90,1818
2025-06-13,3407.30,3444.00,3407.30,3431.20,499
2025-06-16,3442.00,3442.00,3385.40,3396.40,480
2025-06-17,3398.30,3398.30,3376.10,3386.60,1477
2025-06-18,3385.30,3391.90,3365.10,3389.80,0
2025-06-20,3350.00,3372.90,3341.00,3368.10,709
2025-06-23,3365.90,3387.90,3350.00,3377.70,30
2025-06-24,3358.00,3358.00,3301.00,3317.40,538
2025-06-25,3321.60,3331.20,3310.60,3327.10,373
2025-06-26,3332.40,3333.50,3332.40,3333.50,2058
2025-06-27,3318.70,3318.70,3253.80,3273.70,284
2025-06-30,3265.90,3306.90,3262.00,3294.40,1242
2025-07-01,3310.10,3354.10,3310.10,3336.70,371
2025-07-02,3329.00,3357.50,3329.00,3348.00,39
2025-07-03,3362.00,3362.00,3322.30,3331.60,0
2025-07-04,3342.00,3342.00,3332.50,3332.50,0
2025-07-07,3305.50,3333.30,3299.20,3332.20,254
2025-07-08,3330.40,3334.50,3287.60,3307.00,909
2025-07-09,3289.40,3314.00,3282.00,3311.60,114
2025-07-10,3323.60,3330.50,3311.60,3317.40,209
2025-07-11,3330.50,3370.00,3330.50,3356.00,776
2025-07-14,3367.00,3375.50,3350.00,3351.50,583
2025-07-15,3341.00,3341.00,3329.80,3329.80,210
2025-07-16,3341.20,3352.90,3329.50,3352.50,10
2025-07-17,3313.80,3340.80,3313.80,3340.10,667
2025-07-18,3338.20,3353.00,3338.20,3353.00,602
2025-07-21,3350.30,3411.70,3350.30,3401.90,53
2025-07-22,3411.00,3441.00,3395.60,3439.20,39
2025-07-23,3430.30,3433.90,3388.10,3394.10,63
2025-07-24,3367.00,3371.00,3367.00,3371.00,1175
2025-07-25,3344.00,3345.00,3326.50,3334.00,67
2025-07-28,3326.60,3326.80,3309.10,3309.10,533
2025-07-29,3323.40,3323.40,3323.40,3323.40,113144
2025-07-30,3325.80,3331.80,3263.90,3295.80,19252
2025-07-31,3272.90,3312.00,3272.90,3293.20,3704
2025-08-01,3286.20,3360.60,3281.00,3347.70,3420
2025-08-04,3367.60,3386.50,3347.40,3374.40,351
2025-08-05,3378.50,3387.20,3351.20,3381.90,915
2025-08-06,3380.70,3383.30,3361.30,3380.00,1492
2025-08-07,3384.90,3422.90,3384.90,3400.30,5464
2025-08-08,3438.80,3477.00,3402.50,3439.10,7657
2025-08-11,3383.90,3383.90,3349.20,3353.10,1488
2025-08-12,3356.20,3356.20,3330.10,3348.90,1611
2025-08-13,3358.80,3363.40,3358.70,3358.70,1011
2025-08-14,3346.80,3356.00,3328.90,3335.20,592
2025-08-15,3346.80,3346.80,3335.90,3336.00,1185
2025-08-18,3333.50,3347.80,3331.70,3331.70,646
2025-08-19,3330.20,3343.50,3313.40,3313.40,1655
2025-08-20,3310.60,3343.50,3310.10,3343.40,1213
2025-08-21,3349.40,3349.40,3326.50,3336.90,142
2025-08-22,3349.40,3377.70,3349.40,3374.40,1240
2025-08-25,3366.00,3378.00,3366.00,3373.80,1044
2025-08-26,3378.90,3396.50,3371.10,3388.60,905
2025-08-27,3397.00,3404.60,3382.00,3404.60,3222
2025-08-28,3409.00,3434.60,3400.00,3431.80,1035
2025-08-29,3432.50,3475.60,3426.60,3473.70,0
2025-09-02,3485.70,3559.20,3485.70,3549.40,658
2025-09-03,3554.80,3593.70,3553.20,3593.20,72
2025-09-04,3549.90,3573.60,3549.90,3565.80,237
2025-09-05,3567.80,3613.20,3567.80,3613.20,925
2025-09-08,3594.50,3641.00,3590.00,3638.10,97
2025-09-09,3647.10,3670.40,3627.80,3643.30,535
2025-09-10,3625.00,3655.40,3620.80,3643.60,136
2025-09-11,3632.90,3636.90,3618.40,3636.90,307
2025-09-12,3655.50,3656.80,3643.00,3649.40,1300
2025-09-15,3640.00,3686.40,3635.10,3682.20,210
2025-09-16,3681.40,3698.60,3681.40,3688.90,373
2025-09-17,3669.00,3685.20,3661.60,3681.80,183
2025-09-18,3654.60,3667.40,3637.00,3643.70,80
2025-09-19,3659.00,3685.90,3658.20,3671.50,211
2025-09-22,3688.20,3748.20,3688.00,3740.70,410
2025-09-23,3747.00,3786.00,3740.00,3780.60,627
2025-09-24,3769.80,3772.50,3732.10,3732.10,588
2025-09-25,3742.80,3756.00,3724.70,3736.90,1899
2025-09-26,3775.30,3775.30,3775.30,3775.30,19308
2025-09-29,3754.80,3827.60,3754.80,3820.90,8860
2025-09-30,3827.50,3865.50,3793.40,3840.80,1611
2025-10-01,3863.50,3891.90,3853.30,3867.50,1778
2025-10-02,3856.20,3888.60,3823.70,3839.70,3418
2025-10-03,3855.20,3886.80,3853.70,3880.80,392
2025-10-06,3931.30,3960.00,3926.80,3948.50,1267
2025-10-07,3959.40,3981.50,3940.00,3976.60,2903
2025-10-08,3987.20,4049.20,3987.20,4043.30,2179
2025-10-09,4011.20,4046.20,3940.00,3946.30,3130
2025-10-10,3957.00,4012.00,3945.50,3975.90,1697
2025-10-13,4016.00,4111.00,4016.00,4108.60,1697
2025-10-14,4131.70,4160.10,4085.80,4138.70,2424
2025-10-15,4145.00,4210.60,4145.00,4176.90,3287
